host_id,mstar_phys,mstar_hinv,host_m200_phys,host_m200_hinv,sfr,alpha,d_3d_kpc,d_proj_kpc,d_r200_3d,d_r200_proj,quenched
0,10.243932,10.074777,12.343893051147461,12.174738883972168,1.725496,42.29441282481099,139.40361851301674,72.80278666790544,0.5077435957492749,0.2651663498955594,0
0,9.694739,9.525584,12.343893051147461,12.174738883972168,0.836188,55.24011771353972,102.44811630863092,60.68175051136289,0.3731422147225475,0.22101843933213866,0
1,9.886459,9.717304,12.433911323547363,12.26475715637207,0.5579574,67.40459766373785,115.77415243986434,99.94583280271823,0.393539595804315,0.3397359584553006,0
1,9.21967,9.050515,12.433911323547363,12.26475715637207,0.0,69.07082613264299,54.640163665124234,36.18934344667726,0.1857328900302145,0.12301484651184544,1
4,9.06344,8.894285,12.452516555786133,12.283361434936523,0.012882821,8.767307553336991,159.1901924422694,59.1893068383226,0.5334472392236085,0.19834370346598298,1
5,9.754512,9.585358,12.119507789611816,11.950352668762207,0.11893904,70.20723780143004,92.6730846222533,89.92169046258758,0.4009780777040046,0.3890733402535813,0
9,9.855527,9.686372,12.363717079162598,12.194561958312988,0.2109913,18.467636568069054,238.32978043831287,90.9037215273633,0.8549748014544879,0.3261044050869167,0
10,9.072421,8.903266,12.299088478088379,12.12993335723877,0.083648704,32.89197707101437,231.78145687921577,231.57793816752678,0.8737456573823648,0.8729784536857077,0
11,10.663846,10.494691,12.339653015136719,12.17049789428711,8.313475,72.41334833982353,231.43825567968392,201.95940858373558,0.8457288424075979,0.7380063262801336,0
13,10.907105,10.73795,12.420510292053223,12.251355171203613,0.99515694,66.0460185687149,40.929396757726785,17.63055905810749,0.14056721870088015,0.060550089843968244,0
13,9.13108,8.9619255,12.420510292053223,12.251355171203613,0.07421032,42.15980934008501,61.90421750517471,24.203377256316365,0.21260278357056436,0.08312366400675701,0
16,10.389521,10.2203665,12.42731761932373,12.258163452148438,6.7769713,39.64049896605265,220.4637433408865,202.0028823349466,0.7532013367406922,0.6901308972373668,0
16,10.064177,9.895021,12.42731761932373,12.258163452148438,2.0915895,62.31107284899622,221.16546127845598,100.2330028175391,0.755598714561566,0.342440124456069,0
17,9.515517,9.346362,12.44839096069336,12.27923583984375,0.17071241,76.73255231717364,274.43340382074285,239.3954046412257,0.9225575471320208,0.8047709725771857,0
17,9.332898,9.163743,12.44839096069336,12.27923583984375,0.084504396,69.36015161714744,128.67426631166904,127.6375157330942,0.4325618305016747,0.42907660582624685,0
18,10.634929,10.465774,12.496996879577637,12.327841758728027,0.017662227,71.44087889975742,38.407584953231535,24.571118344918098,0.12438284517886987,0.0795734908271157,1
18,9.0400715,8.870917,12.496996879577637,12.327841758728027,0.26503998,80.6698095776207,305.04532187125625,218.53337869653393,0.9878883321888896,0.7077196715681363,0
18,9.892497,9.723342,12.496996879577637,12.327841758728027,1.0706204,77.1070650883204,143.13436134074635,130.48110278465202,0.46354018686937837,0.42256264813823063,0
20,10.251479,10.082324,12.419407844543457,12.250252723693848,1.4236618,68.91551455819791,40.91228424863865,40.270394223038174,0.1406252768356271,0.13841894775364488,0
20,9.34043,9.171276,12.419407844543457,12.250252723693848,0.06106878,79.46628193500436,167.8283202032835,135.02253032163932,0.576865956591762,0.4641046339562229,0
20,9.544419,9.375265,12.419407844543457,12.250252723693848,0.13364217,83.38453943546409,24.75632465354182,23.97866126974278,0.08509339118489383,0.08242037669450127,0
21,9.748281,9.579126,12.40545654296875,12.23630142211914,0.43942305,4.784300100147711,57.364564432787915,44.93070106908605,0.19929572660256134,0.15609805120751258,0
21,9.353526,9.184371,12.40545654296875,12.23630142211914,0.0047168704,42.09310833966779,121.31619242925582,43.10931358872257,0.4214762015176282,0.14977019454350607,1
23,10.672838,10.503683,12.488333702087402,12.319178581237793,0.013722656,7.403347511478614,184.67872184121083,184.62079968384742,0.6020732322745479,0.6018843995809035,1
26,10.455159,10.286004,12.499732971191406,12.330577850341797,0.0,58.250572027562214,52.39706953750528,22.143081087307216,0.16933051451798237,0.07155933235623572,1
27,10.573038,10.403883,12.492388725280762,12.323233604431152,6.720383,39.64537509152899,67.23708528645024,20.379404539743824,0.21851890972874025,0.0662325745081516,0
28,9.461158,9.292003,12.488703727722168,12.319548606872559,0.20187157,73.10544881315548,36.602298158399556,13.847361625259625,0.119296369309912,0.04513213785828324,0
29,9.323694,9.154539,12.230713844299316,12.061558723449707,0.41850623,25.26046126105399,141.64602093020943,113.10482874646246,0.5627552965117628,0.44936201539673937,0
30,10.267289,10.098134,12.414637565612793,12.245482444763184,0.0,59.05674164163878,201.89789196183224,199.27065187558296,0.6965054065751543,0.6874419789847882,1
31,9.76138,9.592226,12.494141578674316,12.324986457824707,0.023407927,18.435710607222866,91.81086600182434,49.12528584909144,0.2979716335076858,0.1594358305115531,1
31,9.108749,8.939594,12.494141578674316,12.324986457824707,0.0,13.322972927630957,132.87257703508058,107.96918680679578,0.43123717868789146,0.35041337003267287,1
31,9.336533,9.167377,12.494141578674316,12.324986457824707,0.0033987442,26.261015177479635,45.489326493213916,42.63518557970152,0.14763534549470497,0.13837224770142734,1
31,9.115161,8.946006,12.494141578674316,12.324986457824707,1.5307611,80.29966484131523,59.468725568292264,37.46953139711253,0.19300540417353454,0.12160714699002283,0
32,9.768702,9.599547,12.440850257873535,12.271696090698242,0.6341921,20.153188118849584,102.2409871904583,99.3120401910757,0.3456896342927844,0.33578649617858186,0
32,9.464112,9.294957,12.440850257873535,12.271696090698242,0.006641324,82.35181673707166,32.99453806311744,29.643367696997654,0.1115586821892784,0.1002279537783845,1
32,9.029505,8.86035,12.440850257873535,12.271696090698242,0.0032024148,79.24956171340142,65.05175692601367,61.8845477516465,0.21994817029657404,0.20923943780775164,1
33,10.00113,9.831975,12.464726448059082,12.295572280883789,0.17703472,35.89965175299477,289.90632518698663,226.8785749505811,0.9624124030676336,0.753176924932269,0
33,9.55857,9.389415,12.464726448059082,12.295572280883789,0.25982207,30.554588884535733,85.89505574715369,74.90226552310126,0.2851488906284729,0.24865573150500442,0
35,9.30059,9.131435,12.450823783874512,12.281669616699219,0.16287722,64.34832096455835,203.54429119165954,188.91757076850863,0.6829647246603788,0.6338867867432925,0
35,9.236749,9.067594,12.450823783874512,12.281669616699219,0.0,84.86582898774924,90.5414830179776,89.31512323455262,0.30379942693401,0.2996845462516884,1
36,9.305747,9.136592,12.451306343078613,12.282151222229004,0.010330879,75.0027492962501,154.23481524890312,116.00673077228173,0.5173245865890299,0.3891023822440267,1
36,9.033342,8.864187,12.451306343078613,12.282151222229004,0.028655097,76.88576964082677,184.09788434720852,99.11926914884695,0.6174893895268695,0.33245953485070034,0
38,9.586178,9.417024,12.42724609375,12.25809097290039,0.6555756,44.970504365252964,231.0669976710645,179.22488108144256,0.7894649427436615,0.6123408444620084,0
38,9.439067,9.269913,12.42724609375,12.25809097290039,0.049718834,87.26857829883164,172.88829306069687,172.83273078913973,0.590691218382089,0.5905013839791856,0
40,10.598075,10.428921,12.466508865356445,12.297353744506836,2.3018222,29.738529528137235,203.9304579800003,203.8990135808847,0.6760764823373774,0.6759722369051164,0
