host_id,mstar_phys,mstar_hinv,host_mstar_phys,host_m200_phys,host_m200_hinv,sfr,alpha,d_3d_kpc,d_proj_kpc,d_r200_3d,d_r200_proj,quenched,quenched_sdss
0,11.596176,11.427022,12.73534870147705,14.263623237609863,14.094468116760254,0.0,76.97418674890955,923.3248092645799,915.6647753120259,0.7705928589456903,0.7641999109777686,1,1
0,11.283945,11.11479,12.73534870147705,14.263623237609863,14.094468116760254,0.0009854576,13.744889200667444,1264.2683730854428,1225.0998235722782,1.0551391778008201,1.0224497014136906,1,1
0,10.971327,10.802173,12.73534870147705,14.263623237609863,14.094468116760254,0.0,23.03231623489158,1190.8449338194882,902.5727575171088,0.993861090815762,0.7532735118160386,1,1
0,10.9536705,10.784515,12.73534870147705,14.263623237609863,14.094468116760254,0.0,84.82942583749508,545.8142742485022,525.343783507432,0.4555283014452141,0.4384439408541164,1,1
0,10.857934,10.68878,12.73534870147705,14.263623237609863,14.094468116760254,0.0,0.040916125964088224,2176.2135499492683,1349.9369597462837,1.8162347684207163,1.1266368787771373,1,1
0,10.9784565,10.809301,12.73534870147705,14.263623237609863,14.094468116760254,0.0,10.045357646863451,481.8518678528217,446.2848475765132,0.4021462487645851,0.37246255396521116,1,1
0,10.786516,10.617362,12.73534870147705,14.263623237609863,14.094468116760254,0.0,22.538640843175514,1628.3269904893912,1561.125923767965,1.3589769692196083,1.3028919798318437,1,1
0,10.571989,10.402835,12.73534870147705,14.263623237609863,14.094468116760254,3.9756587,74.03984517879633,1308.2767546385735,1154.7009301344317,1.0918679044832655,0.9636958544288015,0,0
0,10.811842,10.642689,12.73534870147705,14.263623237609863,14.094468116760254,0.0,15.741291781092798,1548.1046293727243,1513.8516584865863,1.2920246053450755,1.2634375962041036,1,1
0,10.786622,10.617468,12.73534870147705,14.263623237609863,14.094468116760254,0.0,59.108012321043276,939.6144207968712,864.0795849090227,0.7841879212637721,0.7211476947337694,1,1
0,10.573889,10.404734,12.73534870147705,14.263623237609863,14.094468116760254,1.058097,5.485663235832078,1776.4700060042828,1090.2361242775464,1.4826148794252074,0.909894506790149,0,0
0,10.565246,10.3960905,12.73534870147705,14.263623237609863,14.094468116760254,0.24518062,89.70470980606967,912.0396112578636,701.6121887316441,0.7611744041305422,0.5855548740388441,1,1
